timestamp,voltage_V,current_A,power_kW,SOC_percent,backup_time_h
2025-12-26 11:43:07,52.413,-0.231,-0.012,19.00,0.190
2025-12-26 11:43:08,52.415,-0.303,-0.016,19.00,0.190
2025-12-26 11:43:09,52.414,-0.364,-0.019,19.00,0.190
2025-12-26 11:43:10,52.403,-0.311,-0.016,19.00,0.190
2025-12-26 11:43:12,52.409,-0.359,-0.019,19.00,0.190
2025-12-26 11:43:13,52.414,-0.334,-0.017,19.00,0.190
2025-12-26 11:43:14,52.425,-0.308,-0.016,19.00,0.190
2025-12-26 11:43:15,52.418,-0.311,-0.016,19.00,0.190
2025-12-26 11:43:16,52.419,-0.297,-0.016,19.00,0.190
2025-12-26 11:43:17,52.398,-0.253,-0.013,19.00,0.190
2025-12-26 11:43:19,52.403,-0.276,-0.016,19.00,0.190
2025-12-26 11:43:20,52.402,-0.284,-0.015,19.00,0.190
2025-12-26 11:43:21,52.404,-0.274,-0.014,19.00,0.190
2025-12-26 11:43:22,52.395,-0.262,-0.014,19.00,0.190
2025-12-26 11:43:23,52.410,-0.338,-0.018,19.00,0.190
2025-12-26 11:43:24,52.403,-0.316,-0.017,19.00,0.190
2025-12-26 11:43:26,52.414,-0.340,-0.018,19.00,0.190
2025-12-26 11:43:27,52.409,-0.288,-0.015,19.00,0.190
2025-12-26 11:43:28,52.408,-0.343,-0.017,19.00,0.190
2025-12-26 11:43:29,52.410,-0.375,-0.020,19.00,0.190
2025-12-26 11:43:30,52.411,-0.298,-0.016,19.00,0.190
2025-12-26 11:43:31,52.411,-0.284,-0.015,19.00,0.190
2025-12-26 11:43:33,52.416,-0.274,-0.014,19.00,0.190
2025-12-26 11:43:34,52.402,-0.289,-0.015,19.00,0.190
2025-12-26 11:43:35,52.411,-0.282,-0.015,19.00,0.190
2025-12-26 11:43:36,52.421,-0.315,-0.016,19.00,0.190
2025-12-26 11:43:37,52.409,-0.268,-0.014,19.00,0.190
2025-12-26 11:43:38,52.414,-0.311,-0.016,19.00,0.190
2025-12-26 11:43:40,52.421,-0.333,-0.016,19.00,0.190
2025-12-26 11:43:41,52.418,-0.311,-0.016,19.00,0.190
2025-12-26 11:43:42,52.410,-0.311,-0.014,19.00,0.190
2025-12-26 11:43:43,52.414,-0.341,-0.018,19.00,0.190
2025-12-26 11:43:44,52.412,-0.339,-0.018,19.00,0.190
2025-12-26 11:43:45,52.410,-0.281,-0.015,19.00,0.190
2025-12-26 11:43:47,52.418,-0.316,-0.017,19.00,0.190
2025-12-26 11:43:48,52.415,-0.265,-0.014,19.00,0.190
2025-12-26 11:43:49,52.414,-0.296,-0.015,19.00,0.190
2025-12-26 11:43:50,52.422,-0.336,-0.018,19.00,0.190
2025-12-26 11:43:51,52.410,-0.321,-0.017,19.00,0.190
2025-12-26 11:43:52,52.411,-0.239,-0.013,19.00,0.190
2025-12-26 11:43:54,52.411,-0.323,-0.017,19.00,0.190
2025-12-26 11:43:55,52.415,-0.271,-0.014,19.00,0.190
2025-12-26 11:43:56,52.411,-0.281,-0.015,19.00,0.190
2025-12-26 11:43:57,52.416,-0.321,-0.017,19.00,0.190
2025-12-26 11:43:58,52.411,-0.324,-0.017,19.00,0.190
2025-12-26 11:44:00,52.402,-0.276,-0.014,19.00,0.190
2025-12-26 11:44:01,52.411,-0.254,-0.013,19.00,0.190
2025-12-26 11:44:02,52.409,-0.279,-0.014,19.00,0.190
2025-12-26 11:44:03,52.417,-0.217,-0.011,19.00,0.190
2025-12-26 11:44:04,52.411,-0.234,-0.012,19.00,0.190
2025-12-26 11:44:05,52.411,-0.210,-0.011,19.00,0.190
2025-12-26 11:44:07,52.417,-0.270,-0.014,19.00,0.190
2025-12-26 11:44:08,52.410,-0.293,-0.015,19.00,0.190
2025-12-26 11:44:09,52.411,-0.278,-0.013,19.00,0.190
2025-12-26 11:44:10,52.404,-0.258,-0.014,19.00,0.190
2025-12-26 11:44:11,52.397,-0.213,-0.011,19.00,0.190
2025-12-26 11:44:12,52.417,-0.226,-0.012,19.00,0.190
2025-12-26 11:44:14,52.413,-0.324,-0.017,19.00,0.190
2025-12-26 11:44:15,52.408,-0.293,-0.015,19.00,0.190
2025-12-26 11:44:16,52.414,-0.282,-0.015,19.00,0.190
2025-12-26 11:44:17,52.405,-0.307,-0.016,19.00,0.190
2025-12-26 11:44:18,52.403,-0.280,-0.015,19.00,0.190
2025-12-26 11:44:19,52.410,-0.280,-0.015,19.00,0.190
2025-12-26 11:44:21,52.415,-0.266,-0.014,19.00,0.190
2025-12-26 11:44:22,52.412,-0.256,-0.013,19.00,0.190
2025-12-26 11:44:23,52.403,-0.257,-0.013,19.00,0.190
2025-12-26 11:44:24,52.414,-0.227,-0.012,19.00,0.190
2025-12-26 11:44:25,52.413,-0.283,-0.015,19.00,0.190
2025-12-26 11:44:27,52.407,-0.299,-0.016,19.00,0.190
2025-12-26 11:44:28,52.408,-0.269,-0.014,19.00,0.190
2025-12-26 11:44:29,52.400,-0.273,-0.014,19.00,0.190
2025-12-26 11:44:30,52.411,-0.276,-0.014,19.00,0.190
2025-12-26 11:44:31,52.414,-0.251,-0.013,19.00,0.190
2025-12-26 11:44:32,52.411,-0.269,-0.014,19.00,0.190
